                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8224,                 4.1655,                 1.5031,                0.00303,                0.66667,                0.00359,                0.00139,                 2.2399,                 4.7426,                 1.8557,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.6631,                 3.8775,                 1.3726,                0.00394,                0.86667,                0.03666,                0.00758,                 1.9438,                  4.285,                 1.5205,             0.00013861,             0.00013861,             0.00013861
                      3,                 1.4652,                 3.0231,                 1.2931,                0.00394,                0.86667,                0.33188,                0.10356,                 1.5257,                 4.0493,                 1.2673,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.4919,                 2.4086,                 1.2895,                0.00394,                0.86667,                0.42069,                0.15078,                 1.6128,                 3.8706,                 1.2094,             0.00029109,             0.00029109,             0.00029109
                      5,                 1.2751,                 2.3194,                 1.1489,                0.00394,                0.86667,                0.28972,                0.12246,                 1.5962,                 3.8285,                 1.2111,             0.00036495,             0.00036495,             0.00036495
                      6,                  1.306,                 2.0303,                 1.1425,                0.00394,                0.86667,                0.37734,                 0.1407,                 1.5588,                 3.7442,                 1.2297,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.2606,                 1.8557,                 1.0847,                0.00394,                0.86667,                0.45398,                0.22762,                 1.4522,                 3.7267,                  1.213,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.2301,                  1.688,                 1.1066,                0.00394,                0.86667,                  0.376,                0.15436,                 1.3489,                 3.7319,                 1.2135,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.1845,                 1.5447,                 1.1005,                0.00364,                    0.8,                0.06384,                0.03235,                 1.3675,                 3.7407,                 1.2526,             0.00064456,             0.00064456,             0.00064456
                     10,                 1.3049,                 1.6723,                 1.1598,                0.00364,                    0.8,                0.01853,                0.00871,                  1.515,                 3.8236,                 1.3228,              0.0007105,              0.0007105,              0.0007105
                     11,                 1.2387,                  1.577,                 1.1568,                0.00364,                    0.8,                0.10079,                0.06132,                 1.5109,                 3.8165,                 1.3898,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.0601,                 1.4471,                 1.0791,                0.00364,                    0.8,                0.05639,                0.03978,                 1.4794,                  3.855,                 1.3039,             0.00083763,             0.00083763,             0.00083763
                     13,                 1.2563,                 1.5927,                 1.1426,                0.00303,                0.66667,                0.11565,                0.06945,                 1.4664,                  3.767,                 1.3493,             0.00089882,             0.00089882,             0.00089882
                     14,                 1.1954,                  1.514,                 1.1232,                0.00394,                0.86667,                0.46766,                0.27895,                 1.4185,                  3.553,                 1.3007,             0.00095843,             0.00095843,             0.00095843
                     15,                   1.12,                 1.4738,                 1.0984,                0.00552,                    0.6,                0.48606,                0.29634,                 1.4606,                 3.3524,                 1.3759,              0.0010165,              0.0010165,              0.0010165
                     16,                 1.1141,                 1.4589,                 1.0874,                0.83894,                    0.4,                0.44008,                0.23602,                 1.6407,                 3.2478,                 1.4191,              0.0010729,              0.0010729,              0.0010729
                     17,                 1.1865,                 1.4925,                 1.1231,                0.72565,                0.26667,                0.34407,                0.19239,                 1.6311,                 3.2256,                 1.4005,              0.0011277,              0.0011277,              0.0011277
                     18,                  1.083,                 1.4828,                  1.064,                      1,                0.12243,                 0.2671,                0.10158,                 1.6389,                 3.5431,                  1.595,               0.001181,               0.001181,               0.001181
                     19,                 1.1339,                 1.4062,                 1.1157,                      1,                0.26363,                0.41716,                0.21781,                  1.693,                 3.2929,                 1.6789,              0.0012327,              0.0012327,              0.0012327
                     20,                  1.086,                 1.3581,                 1.0676,                      1,                0.39873,                 0.4342,                0.22454,                 1.7805,                 3.3048,                 1.7405,              0.0012828,              0.0012828,              0.0012828
                     21,                 1.1049,                 1.3866,                 1.1221,                0.67975,                    0.4,                0.44844,                0.24945,                 1.7268,                 3.1909,                  1.774,              0.0013313,              0.0013313,              0.0013313
                     22,                 1.0353,                 1.2025,                  1.088,                0.58941,                0.46667,                0.46939,                0.24281,                 1.7328,                 2.9902,                 1.7034,              0.0013783,              0.0013783,              0.0013783
                     23,                 1.0107,                 1.1989,                 1.0654,                0.56262,                0.46667,                0.44862,                0.24951,                 1.7958,                 2.7923,                 1.6046,              0.0014236,              0.0014236,              0.0014236
                     24,                  1.067,                 1.2526,                 1.0951,                0.69624,                0.45915,                0.43539,                0.26814,                 1.8806,                  2.943,                 1.7112,              0.0014674,              0.0014674,              0.0014674
                     25,                 1.0771,                 1.2665,                 1.0604,                0.88569,                    0.4,                0.47513,                0.27232,                 1.7447,                 2.9042,                 1.6408,              0.0015096,              0.0015096,              0.0015096
                     26,                0.95783,                 1.2795,                 1.0052,                0.84325,                0.46667,                 0.5318,                0.27004,                 1.7296,                  2.604,                 1.6236,               0.001505,               0.001505,               0.001505
                     27,                 1.0895,                 1.2281,                 1.0967,                0.87179,                0.45469,                0.54457,                0.30571,                 1.6822,                 2.6096,                 1.5685,              0.0014852,              0.0014852,              0.0014852
                     28,                0.99469,                 1.0976,                0.99883,                0.72544,                    0.4,                0.43939,                0.24141,                 1.5747,                 2.7356,                  1.511,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0203,                 1.1408,                 1.0723,                0.88767,                 0.5275,                0.65585,                0.35583,                 1.5355,                 2.6626,                 1.4747,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0619,                 1.1188,                 1.0447,                0.87429,                  0.464,                0.59719,                0.30496,                   1.68,                 2.4868,                 1.5329,              0.0014258,              0.0014258,              0.0014258
                     31,                0.92621,                 1.0904,                 1.0073,                0.83585,                0.46667,                0.54516,                0.28929,                  1.677,                 2.5875,                 1.5059,               0.001406,               0.001406,               0.001406
                     32,                0.97269,                 1.0189,                 1.0183,                0.87223,                0.45631,                0.53095,                0.29769,                 1.6039,                 2.7116,                 1.4361,              0.0013862,              0.0013862,              0.0013862
                     33,                0.99976,                 1.0099,                 1.0238,                0.62752,                0.46667,                0.48303,                0.24496,                 1.5036,                 2.9116,                 1.4067,              0.0013664,              0.0013664,              0.0013664
                     34,                0.92442,                0.98833,                0.96921,                0.59912,                0.46667,                0.48933,                0.29374,                 1.4935,                 2.7721,                 1.4573,              0.0013466,              0.0013466,              0.0013466
                     35,                0.93943,                 1.0266,                 1.0217,                0.79975,                0.53258,                0.55952,                0.33907,                 1.5139,                 2.4005,                 1.4829,              0.0013268,              0.0013268,              0.0013268
                     36,                0.93159,                 0.9416,                 1.0258,                0.69295,                0.66667,                0.57745,                0.36721,                 1.5949,                 2.1218,                 1.5242,               0.001307,               0.001307,               0.001307
                     37,                0.96752,                 1.0434,                 1.0423,                0.70719,                    0.6,                0.57329,                0.32933,                 1.6611,                 2.1449,                 1.5998,              0.0012872,              0.0012872,              0.0012872
                     38,                0.91823,                0.98394,                 1.0129,                0.60495,                0.53333,                0.53443,                0.30936,                 1.5639,                 2.2177,                 1.5255,              0.0012674,              0.0012674,              0.0012674
                     39,                0.95864,                0.94825,                 1.0041,                0.93943,                    0.4,                0.49506,                0.28761,                 1.6043,                 2.3956,                 1.5423,              0.0012476,              0.0012476,              0.0012476
                     40,                0.94969,                0.98979,                0.99729,                0.95097,                    0.4,                0.46659,                0.27489,                 1.6441,                  2.526,                 1.5536,              0.0012278,              0.0012278,              0.0012278
                     41,                0.90785,                0.89507,                0.97529,                0.95843,                    0.4,                0.49588,                0.26818,                  1.755,                 2.3928,                 1.6219,               0.001208,               0.001208,               0.001208
                     42,                 0.8355,                0.88219,                0.95487,                 0.8264,                0.46667,                0.52887,                0.26457,                 1.8282,                 2.3169,                 1.6805,              0.0011882,              0.0011882,              0.0011882
