                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6384,                 3.6888,                 1.5554,                 0.0035,                  0.875,                0.04714,                 0.0233,                 1.6165,                  4.354,                  1.523,                0.00016,                0.00016,                0.00016
                      2,                 1.5095,                 2.9982,                 1.4267,                 0.0035,                  0.875,                0.37198,                0.21441,                 1.4085,                 3.7931,                 1.2775,             0.00033663,             0.00033663,             0.00033663
                      3,                 1.3847,                  2.372,                 1.3183,                0.00317,                0.79167,                0.35976,                0.18388,                 1.3705,                 3.9426,                 1.3078,              0.0005097,              0.0005097,              0.0005097
                      4,                 1.3554,                 2.1022,                 1.2986,                0.76204,                0.20833,                0.32467,                0.15815,                 1.6655,                 3.9088,                 1.5665,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.4224,                 2.1676,                 1.3762,                0.13869,                0.41667,                0.21158,                0.10147,                 1.6332,                 4.1354,                 1.6342,             0.00084515,             0.00084515,             0.00084515
                      6,                 1.4787,                 2.1478,                 1.3476,                0.00167,                0.41667,                0.10372,                0.07171,                 1.8054,                 4.4862,                 1.6952,              0.0010075,              0.0010075,              0.0010075
                      7,                 1.4731,                 2.0732,                  1.381,                0.08241,                0.41667,                0.24229,                0.14586,                 1.6478,                 3.8827,                 1.4966,              0.0011663,              0.0011663,              0.0011663
                      8,                 1.4158,                 2.1492,                 1.3903,                 0.3908,                   0.25,                0.17249,                0.08922,                 1.7489,                 3.7353,                 1.5462,              0.0013216,              0.0013216,              0.0013216
                      9,                 1.4304,                 1.9621,                 1.3865,                 0.5431,                0.16667,                0.22878,                0.13666,                 1.6965,                 3.3489,                 1.5285,              0.0014733,              0.0014733,              0.0014733
                     10,                 1.4343,                 1.9549,                 1.3524,                0.63063,                0.29167,                0.34251,                0.18959,                  1.812,                 3.3074,                 1.5443,              0.0016214,              0.0016214,              0.0016214
